강좌명,강좌내용,교육대상구분,교육방법구분,교육장도로명주소,운영기관명,강좌난이도,홈페이지주소
스마트폰 활용(중급),스마트폰과 AI 기능을 활용한 영상 편집 및 제작 역량을 단계적으로 향상시킨다.,대전시민(성인),오프라인,대전광역시 중구 중교로 56,대전평생학습관,중급,http://www.dllc.or.kr
상황에 맞게 활용하는 스마트한 AI 생활,상황에 맞는 생성형 AI도구를 활용하는 방법 학습,인천시민,온라인,인천광역시 연수구 경원대로 73,인천광역시교육청평생학습관,중급,http://www.ilec.go.kr
AI를 활용한 숏폼 콘텐츠 만들기,생성형 AI를 활용하여 디지털 콘텐츠 제작,인천시민,오프라인,인천광역시 연수구 경원대로 73,인천광역시교육청평생학습관,중급,http://www.ilec.go.kr
[기초] 스마트한 AI 생활 첫걸음,AI의 기초적인 사용 방법 학습,인천시민,오프라인,인천광역시 연수구 경원대로 73,인천광역시교육청평생학습관,초급,http://www.ilec.go.kr
챗GPT와 친해지기,AI도구의 기본 기능 이해,성인 장애인,오프라인,인천광역시 연수구 경원대로 73,인천광역시교육청평생학습관,초급,http://www.ilec.go.kr
디지털·AI 활용을 통한 일상 기록하기,디지털·AI 활용을 통한 일상 기록,성인 장애인,오프라인,인천광역시 연수구 경원대로 73,인천광역시교육청평생학습관,중급,http://www.ilec.go.kr
"AI시대, 생존하는 진로설계",AI시대의 진로설계 방법 이해,학부모,오프라인,인천광역시 연수구 경원대로 73,인천광역시교육청평생학습관,초급,http://www.ilec.go.kr
AI-POT(AI프롬프트활용능력),AI-POT(AI프롬프트 활용능력)자격 시험 과정,성인,오프라인,인천광역시 연수구 경원대로 73,인천광역시교육청평생학습관,중급,http://www.ilec.go.kr
행복한 노후준비와 생성형 AI,"100세 시대를 맞아 건강,재무, 여가, 대인관계 영역을재점검하고, AI를 활용하여행복한 노후생활 설계하기",어르신,오프라인,"대구광역시 수성구 만촌로 151 (만촌동, 대구광역시립수성도서관)",대구광역시립수성도서관,중급,https://library.daegu.go.kr/suseong
AI 활용 스토리북 만들기,AI 생성 이미지와 텍스트로 스토리북 만들기,초등 3~5학년,오프라인,대구광역시 서구 국채보상로49길 12 (평리동),대구광역시립 서부도서관,중급,https://library.daegu.go.kr/seobu/
(상반기)생활을 바꾸는 스마트폰 기초 활용과 AI,스마트폰을 안전하고 효율적으로 활용하는 기초 역량을 다진다.,성인(60대이상),오프라인,부산광역시 동래구 명안로46번길 35,부산광역시립명장도서관,초급,https://home.pen.go.kr/mjlib
지구 지킴이 환경 놀이터,"영화, 게임, 코딩 및 AI를 하면서 지속 가능한 발전을 위한 생태 환경 중심적 사고력을 기르다.",초 4-6,오프라인,부산광역시 부산진구 월드컵대로 462(초읍동),부산광역시립시민도서관,초급,
GTQ포토샵&AI디자인,GTQ 포토샵 실무자격증 취득&이모티콘과 캐릭터를 디자인하고 이모티콘 애니메이션 제작하기,지역주민+성인,오프라인,인천광역시 미추홀구 경원대로864번길 24,인천광역시 여성복지관,중급,
[정규] 시니어 눈높이 AI 활용법,천천히 배워보는 시니어 맞춤형 AI 수업,청주시민,오프라인,충청북도 청주시 흥덕구 월명로 13번길 52,충청북도 청주시 평생학습관,초급,https://lll.cheongju.go.kr
"[정규] 생성형 AI 완전 정복 : 음악, 이미지, 영상까지","일상과 업무가 편해지는 생성형 AI, 쉽게 배워 다양하게 활용하기",청주시민,오프라인,충청북도 청주시 흥덕구 월명로 13번길 52,충청북도 청주시 평생학습관,중급,https://lll.cheongju.go.kr
AI를 활용한 숏폼 제작,AI영상제작,봉화군민,오프라인,경상북도 봉화군 봉화읍 내성로5길 13,경상북도 봉화군청,중급,https://www.bonghwa.go.kr/edu
챗GPT 실생활 혁신,디지털 문화,봉화군민,오프라인,경상북도 봉화군 봉화읍 내성로5길 13,경상북도 봉화군청,초급,https://www.bonghwa.go.kr/edu
시니어 AI기초반,생성형 AI를 다루어보며 AI의 다양한 기능 익히기,영천시민,오프라인,경상북도 영천시 최무선로 243,경상북도 영천시청 평생학습관,초급,http://www.yc.go.kr/edu
Ai와 Chat Gpt활용과정(초급/오후),AI와 ChatGPT 활용방법(초급),지역주민,오프라인,전라남도 해남군 해남읍 교육청길 54,전라남도 해남군교육재단,초급,http://www.haenamedu.or.kr
Ai와 Chat Gpt활용과정(중급/야간),AI와 ChatGPT 활용방법(중급),지역주민,오프라인,전라남도 해남군 해남읍 교육청길 54,전라남도 해남군교육재단,중급,http://www.haenamedu.or.kr
스마트폰 카메라 사진 교실,스마트폰 및 일반카메라를 활용하여 일상 사진을 촬영하고 간단한 편집과 AI 자동보정까지 배워보기,제한없음,오프라인,"전북특별자치도 남원시 요천로 1283, 남원시 평생학습관 본관",전북특별자치도 남원시청,중급,https://www.namwon.go.kr/lifelong
AI 활용 콘텐츠 제작과정,"AI도구(챗GPT,제미나이,미리캔버스,영상편집)를 활용하여 콘텐츠 디자인 및 영상제작해보기",제한없음,오프라인,"전북특별자치도 남원시 요천로 1283, 남원시 평생학습관 본관",전북특별자치도 남원시청,중급,https://www.namwon.go.kr/lifelong
내 삶을 담다 AI로 남기기(야간) 디지털 자서전 클래스,시민참여교육,익산시민,오프라인,전북특별자치도 익산시 선화로133,전북특별자치도 익산시청,초급,http://www.iksan.go.kr/lll
내 생활속 AI,생성형 AI 기본개념이해 및 실생활 적용,금산군민,오프라인,충청남도 금산군 금산읍 금산로 1559,금산다락원,초급,http://geumsan.go.kr/daragwon/
AI와 함께하는 블로그와 인스타그램,직업능력,서산시민(성인),오프라인,충청남도 서산시 안견로 252,충청남도 서산시청,중급,
AI 활용 스마트스토어구축 A to Z,직업능력,서산시민(성인),오프라인,충청남도 서산시 안견로 252,충청남도 서산시청,중급,
AI와 함께하는 스마트폰 활용 중급반,디지털 리터러시,서산시민(성인),오프라인,충청남도 서산시 안견로 252,충청남도 서산시청,중급,
슬기로운 일상 똑똑한 AI 사용법(50세 이상),챗GPT 등 인공지능 도구를 쉽고 안전하게 사용하는 방법을 배우고 일상생활에 활용(실습형),시민,오프라인,충청남도 보령시 목장길 66,충청남도 보령시 평생학습관,중급,http://www.brcn.go.kr/life.do
충남보령시민대학_시민교양영역_스마트한 AI생활 - 1기,AI의 이해와 일상생활에서의 활용,시민,오프라인,충청남도 보령시 목장길 66,충청남도 보령시 평생학습관,중급,http://www.brcn.go.kr/life.do
(학습관-주간반) AI를 활용한 미디어 제작,"생성형 AI의 기본 개념을 이해하고, 일상&middot;학습&middot;업무에 안전하고 책임 있게 활용할 수 있는 기초 역량을 함양1. 범용 AI - ChatGPT 활용 및 Google Gemini활용, 2. 특수목적 AI - 미드저니, Suno AI, 소라 등 주요 생성형 AI 활용법3. AI를 활용한 미디어 만들기(짧은 영화, 광고, 만화, 음악, 게임, 논문, 강의안",성인,오프라인,강원특별자치도 원주시 원일로 139,강원특별자치도 원주시 평생교육원,초급,http://yeyak.wonju.go.kr
